# Nicholas Stroustrup 
# Centre for Genomic Regulation, 08/29/2020
# This posture-analysis HMM model was built from annotations of 431 individuals observed in four separate experiments
# involving both live and UV-inactivated bacteria.  
# All animals were QZO (N2-derived) wild-type grown at 20C,
# and then transferred on their second day of adulthood at 32C
# State transitions are made requiring synchronous movement cessation and expansion with static transition probabilities.
# The following quantitative metrics are used to classify states: 
#	Change in total intensity around the worm
#	4x Temporally smoothed, Change in total intensity around the worm
#	Spatially Averaged Movement Sum Cropped at level 0
Version,Permissions,Movement State,Number of Dimensions ,Number of Gaussians, Dimension Name,Weight 0, Mean 0, Var 0,Weight 1, Mean 1, Var 1,Weight 2, Mean 2, Var 2
2.5,517,missing,3,3,i1,-0.487334363509778323297894075949,0,1.0000000000000000364321973155e-10,-1.69919685811367049410591789638,0,1.0000000000000000364321973155e-10,-1.59500218924206249582198324788,0,1.0000000000000000364321973155e-10
2.5,517,missing,3,3,i4,-0.487334363509778323297894075949,0,1.0000000000000000364321973155e-10,-1.69919685811367049410591789638,0,1.0000000000000000364321973155e-10,-1.59500218924206249582198324788,0,1.0000000000000000364321973155e-10
2.5,517,missing,3,3,c0,-0.487334363509778323297894075949,-2.30258509299421598726098636689,0.273580684961715447922614430354,-1.69919685811367049410591789638,6.20075898927512270120132598095,2.84812879279850506009097443894,-1.59500218924206249582198324788,9.72453192698805857219213066855,1.11903713891051381779107032344
2.5,517,moving weakly,3,3,i1,-0.534212455568939703631770044012,-0.063226936837835243099270599032,8.91238679805424460766971606063,-1.04867354677545487895429232594,2.1022625066233451285313549306,220.66314767899604021295090206,-2.75723433545412044409772533982,79.4462922400551434520821203478,6984.10921417997360549634322524
2.5,517,moving weakly,3,3,i4,-0.534212455568939703631770044012,0.178021496565730019678852613652,4.86380025523782411056572527741,-1.04867354677545487895429232594,4.64779962222696330087501337403,159.841346985509829892180277966,-2.75723433545412044409772533982,64.7706252228499153034135815687,2983.29696889863316755509003997
2.5,517,moving weakly,3,3,c0,-0.534212455568939703631770044012,5.14911813772403093025786802173,28.7153909242485774200304149417,-1.04867354677545487895429232594,9.427966759878918523440916033,1.31845588988656459150661248714,-2.75723433545412044409772533982,6.41514688407556477045545761939,27.9949401757414051417072187178
2.5,517,moving weakly; expanding,3,3,i1,-2.56170554903160940796169597888,38.9258808956037043458309199195,3149.24987485410019871778786182,-0.758583469381563846312133136962,0.0264918611542918833179349746842,3.84838545187184610796293782187,-0.788562571175143278701114013529,7.66078939772520151052503933897,87.2844307977681523880164604634
2.5,517,moving weakly; expanding,3,3,i4,-2.56170554903160940796169597888,31.9209718856973942990862269653,1097.71799276101501163793727756,-0.758583469381563846312133136962,0.243216606455389006136158513982,1.91925285226333275367949227075,-0.788562571175143278701114013529,8.62506265403277971870465989923,80.1122111565726413573429454118
2.5,517,moving weakly; expanding,3,3,c0,-2.56170554903160940796169597888,8.87002646336208755428742733784,1.24566174433024912104883696884,-0.758583469381563846312133136962,8.22381472873213859031693573343,10.2790286254899001505691558123,-0.788562571175143278701114013529,6.60962599115623561374377459288,10.3724567411917689696565503255
2.5,517,moving weakly; post expansion,3,3,i1,-2.68936134287885408866713987663,77.0954376787540098803219734691,8626.58551959191390778869390488,-1.08024387792877551994763507537,2.41416417335933708443462819559,232.382921963708412249616230838,-0.523298119222227575697559132095,-0.0790303646442449270193009169816,10.3628730540237441459794354159
2.5,517,moving weakly; post expansion,3,3,i4,-2.68936134287885408866713987663,62.687473101443075051975029055,3378.40434066903208076837472618,-1.08024387792877551994763507537,5.00748337281813071797387237893,176.677746045655737816559849307,-0.523298119222227575697559132095,0.180502616204545718314733449006,5.2967881287992204519810002239
2.5,517,moving weakly; post expansion,3,3,c0,-2.68936134287885408866713987663,6.49104197872829935533900425071,26.8402737076384028114262036979,-1.08024387792877551994763507537,9.43153089701990055004898749758,1.31275889089080521898722508922,-0.523298119222227575697559132095,5.25084523920901613536216245848,28.2552645428538511396254762076
2.5,517,not moving; expanding,3,3,i1,-2.11662521347590582010411708325,22.366479608322379135643132031,617.562027806941159724374301732,-0.576783981011275481698419298482,2.64141702247970844297242365428,13.468772474951645534702038276,-1.14614205141478020522072256426,14.7170301472174092083378127427,39.3908781078548031473474111408
2.5,517,not moving; expanding,3,3,i4,-2.11662521347590582010411708325,19.7441292443978113624325487763,482.37883929500804924828116782,-0.576783981011275481698419298482,2.69614805783457933685554053227,10.5301721988360377224580588518,-1.14614205141478020522072256426,10.198820427237894392646921915,15.5732570125780966918682679534
2.5,517,not moving; expanding,3,3,c0,-2.11662521347590582010411708325,3.51386379550418537220934922516,23.0519800415340441190892306622,-0.576783981011275481698419298482,1.15270396807199437816393583489,18.4727540075288594323410507059,-1.14614205141478020522072256426,4.61018725111272331673717417289,13.7004602155826020748463633936
2.5,517,not moving; dead,3,3,i1,-3.13810497399405763374602429394,-17.4107362810246968365390785038,310.651333079024027483683312312,-1.23075785908109081034922382969,-3.82064972936702229588945556316,10.8864554612247026454951992491,-0.408624156717278697037443180307,-0.119439787744899772459206133135,0.718555824749569138631954956509
2.5,517,not moving; dead,3,3,i4,-3.13810497399405763374602429394,-13.7424437507071903752375874319,157.163942687240165696493932046,-1.23075785908109081034922382969,-3.9259458824498438822558910033,11.3932870050115866433770861477,-0.408624156717278697037443180307,-0.184488143138319432567939770706,0.726626203876084120203415750439
2.5,517,not moving; dead,3,3,c0,-3.13810497399405763374602429394,1.5232935051827667383150810565,19.4580479356861495432440278819,-1.23075785908109081034922382969,-2.30258509299406899373252599617,0.0145101757416293258157180545709,-0.408624156717278697037443180307,-2.30258509299405744741306989454,0.0145101757416293258157180545709
2.5,517,contracting after expansion,3,3,i1,-1.96711504000059123065113908524,-18.3456253734193275306552095572,348.914119697164494482422014698,-0.44058436108368687067482483144,-3.63392932828825943047945656872,7.06036116333700825009600521298,-1.53025686408637229263263179746,-12.8258503871799582896073843585,24.9659213552783683098823530599
2.5,517,contracting after expansion,3,3,i4,-1.96711504000059123065113908524,-12.2887971542105614020101711503,156.560968229955534525288385339,-0.44058436108368687067482483144,-3.53651298376633382858358345402,7.81545017194673974358920531813,-1.53025686408637229263263179746,-11.6536714209370568795520739513,17.5507332849424813048244686797
2.5,517,contracting after expansion,3,3,c0,-1.96711504000059123065113908524,4.23381258953954286994303402025,13.8962196427608404292186605744,-0.44058436108368687067482483144,-2.30258509299404412473677439266,0.0708323645393812290071977599837,-1.53025686408637229263263179746,-2.30258509299405034198571229354,0.0708323645393812290071977599837
2.5,517,missing->missing,1,1,dur,0,0.0609802190065564589382951510288,0
2.5,517,missing->moving weakly,1,1,dur,-0.370645342948936362681422451715,0.0609802190065564589382951510288,0
2.5,517,missing->moving weakly; expanding,1,1,dur,-1.38892248352615998996384405473,0.0612884078076629118525531225714,0
2.5,517,missing->moving weakly; post expansion,1,1,dur,-3.30374204551144234898174545378,0.0609802190065564589382951510288,0
2.5,517,missing->not moving; alive,1,1,dur,-5.94279937512670120014490748872,0.067504481510135869171129741062,0
2.5,517,missing->not moving; expanding,1,1,dur,-3.86335783344686500839770815219,0.0649402218327243124784686756357,0
2.5,517,moving weakly->moving weakly,1,1,dur,0,0.0723909502956526229588973819773,0
2.5,517,moving weakly->moving weakly; expanding,1,1,dur,-0.356674943938732447179518203484,0.0702795320581075660948400241068,0
2.5,517,moving weakly->not moving; alive,1,1,dur,-3.35573500758539822186321543995,0.163544075735348876099450876609,0
2.5,517,moving weakly->not moving; expanding,1,1,dur,-1.49943701721977196150703548483,inf,0
2.5,517,moving weakly->not moving; dead,1,1,dur,-3.42472787907234943460821341432,inf,0
2.5,517,moving weakly->contracting after expansion,1,1,dur,-4.6774908475677179353624524083,inf,0
2.5,517,moving weakly; expanding->moving weakly; expanding,1,1,dur,0,0.0817720378676744380497254383044,0
2.5,517,moving weakly; expanding->moving weakly; post expansion,1,1,dur,-5.98393628068719074519776768284,0.0723909502956526229588973819773,0
2.5,517,moving weakly; expanding->not moving; alive,1,1,dur,-5.98393628068719074519776768284,0.0817720378676744380497254383044,0
2.5,517,moving weakly; expanding->not moving; expanding,1,1,dur,-0.0359012915065444193629673463874,0.0817720378676744380497254383044,0
2.5,517,moving weakly; expanding->not moving; dead,1,1,dur,-5.98393628068719074519776768284,0.0846440328922139217926456922214,0
