Version,Permissions,Movement State,Number of Dimensions ,Number of Gaussians, Dimension Name,Weight 0, Mean 0, Var 0,Weight 1, Mean 1, Var 1,Weight 2, Mean 2, Var 2,Weight 3, Mean 3, Var 3
2.5,5,missing,2,4,m,-1.62795852782282013393455599726,10.3178442075598031379968233523,0.339345512339306765170476865023,-1.41884915954351553679657627072,8.63922945928833385664802335668,0.319550238159678201554925180972,-1.89857974953551411623209332902,5.94076018537813155262483633123,0.525011939292014062630187254399,-0.886983208279151891240132954408,7.0821546038586866700370592298,0.168790071697195287470094626769
2.5,5,missing,2,4,i4,-1.62795852782282013393455599726,0,1.0000000000000000364321973155e-10,-1.41884915954351553679657627072,0,1.0000000000000000364321973155e-10,-1.89857974953551411623209332902,0,1.0000000000000000364321973155e-10,-0.886983208279151891240132954408,0,1.0000000000000000364321973155e-10
2.5,5,moving weakly,2,4,m,-1.49433532461313745010045295203,9.65106232925500329145052091917,0.758942478681817078722815494984,-0.547637617947668520201887076837,8.73972782047898988366796402261,2.37037380168737854546634480357,-2.05036178415062231294996308861,10.1318732421027757339970776229,0.336447670739644877357932273299,-2.67946918786216681240830439492,9.68643490401224660502066399204,1.39962096491338172654650406912
2.5,5,moving weakly,2,4,i4,-1.49433532461313745010045295203,10.3356503590985031593163512298,129.210871026398393723866320215,-0.547637617947668520201887076837,0.132508322493539498765358075616,5.21107590655327257422868569847,-2.05036178415062231294996308861,-3.74379549278923784427774990036,82.1419299449613191654862021096,-2.67946918786216681240830439492,63.9829355867031424054403032642,3105.55171032451926294015720487
2.5,5,moving weakly; expanding,2,4,m,-3.02377368486313491402484032733,9.05265524430599910488126624841,0.299889317714388425883953459561,-2.35089739974491118701394043455,9.60734550125924791075249231653,0.598564778025036048347828909755,-0.921770412246782577803116964787,9.88365470699379322638833400561,0.764984268609779860526032280177,-0.780264331015445233852290130017,8.74306132685052794784041907405,0.434248544837217309577681589872
2.5,5,moving weakly; expanding,2,4,i4,-3.02377368486313491402484032733,20.6350086588777870133526448626,147.783224249498061908525414765,-2.35089739974491118701394043455,30.0971206268467419420176156564,956.796375405678531933517660946,-0.921770412246782577803116964787,0.103058008171553347476212536549,1.97654890318932485726577397145,-0.780264331015445233852290130017,6.68619064753092917641197345802,43.9923259164709392621261940803
2.5,5,moving weakly; post expansion,2,4,m,-0.560452884946793572495948865253,8.74141928270027079861392849125,2.33833404230510666366171790287,-1.88605204150557370645913124463,10.0756371626210086134278753889,0.365400330531812755907594691962,-2.63159922252528044595010214834,9.75227858987208406915669911541,1.27742961671461330297461245209,-1.58271384387579105990084826772,9.62500366607206636615501338383,0.809843275615818924961786251515
2.5,5,moving weakly; post expansion,2,4,i4,-0.560452884946793572495948865253,0.153690485859356434916733746832,5.60540743966114796137389930664,-1.88605204150557370645913124463,-2.22486958616420693601867242251,83.8066665589936690139438724145,-2.63159922252528044595010214834,63.0160944766205517453272477724,3414.64464752568801486631855369,-1.58271384387579105990084826772,10.9531380123275852156439214014,155.290745446316293509880779311
2.5,5,not moving; expanding,2,4,m,-2.17288599078473421144508392899,8.99040606144410858746596204583,1.0339966916564691246094298549,-0.845338465193212540427225576423,7.94651413115649152274500011117,0.172797717184728583106334554031,-1.18874232472605423360789700382,7.88581414517815471043604702572,0.583163830613699474270106293261,-1.88298492600394529183915892645,8.35381271121635116116976860212,0.226343619345584556867834180593
2.5,5,not moving; expanding,2,4,i4,-2.17288599078473421144508392899,17.4208596785830422959406860173,500.039850184547731259954161942,-0.845338465193212540427225576423,6.36410663175093826993133916403,11.0682139015553957506199367344,-1.18874232472605423360789700382,1.29380588117062766961851139058,10.0705005095291095784659773926,-1.88298492600394529183915892645,14.9554543450140400295822473709,42.6881324648012707712041446939
2.5,5,not moving; dead,2,4,m,-2.89398539360857443014651835256,8.03876558870936186451672256226,0.595871587162932314640784170479,-0.457028576230942007452284769897,7.19211307833173130177328857826,0.10342632853438971096693421714,-1.50037983522226792132414630032,7.20633730925765370045610325178,0.0761202325796475065544655080885,-2.42546292569695687291186914081,7.44216177564614689288191584637,0.0806925831481137834089167881757
2.5,5,not moving; dead,2,4,i4,-2.89398539360857443014651835256,-10.2971728573102669912486817339,158.702997996844516137571190484,-0.457028576230942007452284769897,-0.105966513049866581375191287862,0.808106863053229651505660058319,-1.50037983522226792132414630032,-2.56914169128076386172665479535,2.529860488855385725059932156,-2.42546292569695687291186914081,-7.14085044364469201383371910197,14.1363507258225951090935268439
2.5,5,contracting after expansion,2,4,m,-1.98781478111529574803739706113,8.35779324747588781008289515739,0.706456428497759247875364962965,-1.962720854162009587184911652,7.55190776016843212659068740322,0.263029213771389436260506045073,-0.721333094734667334968492014013,7.20604322119744633567961500376,0.0527302123496440344752045348287,-1.44211980287116503518518584315,7.64213483594995501846369734267,0.110696043508262675914011197165
2.5,5,contracting after expansion,2,4,i4,-1.98781478111529574803739706113,-14.2485842947131917668457390391,190.669925272696985985021456145,-1.962720854162009587184911652,-2.18308250941660109134545564302,12.276408191254052582053191145,-0.721333094734667334968492014013,-3.88232906722852666447920455539,6.04593170698601412027528567705,-1.44211980287116503518518584315,-10.1838658554129537492372037377,14.6601554530682420818266109563
